아이디,관측일자,표준유역명,유량,발전량
381883,2024-04-01,도암댐,22.35,5519.556
381884,2024-04-01,봉황천하류,36.23,8947.361
381885,2024-04-01,초강상류,51.75,12780.18
381886,2024-04-01,삼가천합류후,2.4,592.704
381887,2024-04-01,삼가천합류후,5.38,1328.645
381888,2024-04-01,석화수위표,-999,-999
381889,2024-04-01,무심천,-999,-999
381890,2024-04-01,갑천하류,-999,-999
381891,2024-04-01,봉황천하류,12.6,3111.696
381892,2024-04-01,갑천하류,-999,-999
381893,2024-04-01,갑천하류,-999,-999
381894,2024-04-01,갑천상류,0.6,148.176
381895,2024-04-01,갑천하류,-999,-999
381896,2024-04-01,보강천,1.54,380.318
381897,2024-04-01,석화수위표,-999,-999
381898,2024-04-01,병천천상류,-999,-999
381899,2024-04-01,석화수위표,-999,-999
381900,2024-04-01,갑천하류,-999,-999
381901,2024-04-01,임실천,11.42,2820.283
381902,2024-04-01,임실천,0,0
381903,2024-04-01,황리천,0,0
381904,2024-04-01,의령천,578.39,142839.194
381905,2024-04-01,차천,560.32,138376.627
381906,2024-04-01,남천,-999,-999
381907,2024-04-01,조만강,0,0
381908,2024-04-01,병천천상류,0,0
381909,2024-04-01,밀양강,612.77,151329.679
381910,2024-04-01,양산천하류,42.83,10577.297
381911,2024-04-01,양산천하류,-999,-999
381912,2024-04-01,곡강천,8.05,1988.028
381913,2024-04-01,곡강천,-999,-999
381914,2024-04-01,동천,5.64,1392.854
381915,2024-04-01,동천,-999,-999
381916,2024-04-01,동천,-999,-999
381917,2024-04-01,동천,-999,-999
381918,2024-04-01,수영강,-999,-999
381919,2024-04-01,남대천,27.8,6865.488
381920,2024-04-01,송천,5.25,1296.54
381921,2024-04-01,갑천하류,-999,-999
381922,2024-04-01,논산천합류전,815.49,201393.41
381923,2024-04-01,논산천합류전,1007.17,248730.703
381924,2024-04-01,대천천,-999,-999
381925,2024-04-01,성황천,249.84,61700.486
381926,2024-04-01,경포천,-999,-999
381927,2024-04-01,경천,3.47,856.951
381928,2024-04-01,광주천,-999,-999
381929,2024-04-01,광주천,-999,-999
381930,2024-04-01,광주천,-999,-999
381931,2024-04-01,와탄천,1.95,481.572
381932,2024-04-01,광주천,8.08,1995.437
381933,2024-04-01,광주천,-999,-999
381934,2024-04-01,지석천,0,0
381935,2024-04-01,와탄천,1.8,444.528
381936,2024-04-01,청계천,0,0
381937,2024-04-01,청계천,0,0
381938,2024-04-01,탐진강하류,3.46,854.482
381939,2024-04-01,탐진강하류,88,21732.48
381940,2024-04-01,와탄천,1.57,387.727
381941,2024-04-01,와탄천,22.75,5618.34
381942,2024-04-01,성황천,63.53,15689.369
381943,2024-04-01,의령천,0,0
381944,2024-04-01,남원수위표,64.42,15909.163
381945,2024-04-01,마륜천,-999,-999
381946,2024-04-01,경포천,-999,-999
381947,2024-04-01,삽교천상류,38.96,9621.562
381948,2024-04-01,삽교천상류,0.02,4.939
381949,2024-04-01,온양천,69.27,17106.919
381950,2024-04-01,간월방조제,-999,-999
381951,2024-04-01,대천천,25.19,6220.922
381952,2024-04-01,전주천하류,22.93,5662.793
381953,2024-04-01,전주천하류,-999,-999
381954,2024-04-01,전주천하류,-999,-999
381955,2024-04-01,전주천하류,0.19,46.922
381956,2024-04-01,전주천하류,0,0
381957,2024-04-01,주상천,2.97,733.471
381958,2024-04-01,주상천,0,0
381959,2024-04-01,임실천,5.23,1291.601
381960,2024-04-01,남원수위표,13.96,3447.562
381961,2024-04-01,임실천,34.12,8426.275
381962,2024-04-01,주암조절지댐,46.87,11575.015
381963,2024-04-01,주암조절지댐,3.15,777.924
381964,2024-04-01,영천강합류전,114.52,28281.859
381965,2024-04-01,논산천합류전,-999,-999
381966,2024-04-01,함양위천,88.58,21875.717
381967,2024-04-01,양평수위표,-999,-999
381968,2024-04-01,중랑천하류,377.35,93190.356
381969,2024-04-01,중랑천합류전,10.05,2481.948
381970,2024-04-01,중랑천합류전,-999,-999
381971,2024-04-01,성남수위표,-999,-999
381972,2024-04-01,탄천하류,-999,-999
381973,2024-04-01,탄천하류,-999,-999
381974,2024-04-01,중랑천하류,1.07,264.247
381975,2024-04-01,중랑천하류,-999,-999
381976,2024-04-01,청계천,-999,-999
381977,2024-04-01,청계천,-999,-999
381978,2024-04-01,안양천하류,-999,-999
381979,2024-04-01,안양천하류,-999,-999
381980,2024-04-01,안양천중류,3.31,817.438
381981,2024-04-01,안양천하류,-999,-999
381982,2024-04-01,행주대교수위표,-999,-999
381984,2024-04-01,경안수위표,-999,-999
381985,2024-04-01,행주대교수위표,-999,-999
381986,2024-04-01,양평수위표,-999,-999
381987,2024-04-01,소양강댐하류,128.3,31684.968
381988,2024-04-01,삼천포천,4.76,1175.53
381989,2024-04-01,전천,3.79,935.978
381990,2024-04-01,황지천,-999,-999
381991,2024-04-01,원주천,5.6,1382.976
381992,2024-04-01,평창강하류,12.97,3203.071
381993,2024-04-01,평창강하류,-999,-999
381994,2024-04-01,원주천,-999,-999
381995,2024-04-01,달천하류,23.75,5865.3
381996,2024-04-01,달천하류,409.51,101132.59
381997,2024-04-01,원주천,280.67,69314.263
381998,2024-04-01,청미수위표,-999,-999
381999,2024-04-01,복하천하류,-999,-999
382000,2024-04-01,양평수위표,215.35,53182.836
382001,2024-04-01,양평수위표,-999,-999
382002,2024-04-01,화천천,-999,-999
382003,2024-04-01,양구교수위표,-999,-999
382004,2024-04-01,양구교수위표,-999,-999
382005,2024-04-01,의암댐,-999,-999
382006,2024-04-01,행주대교수위표,-999,-999
382007,2024-04-01,황지천,4.7,1160.712
382008,2024-04-01,함양위천,10,2469.6
382009,2024-04-01,초강상류,112.46,27773.122
382010,2024-04-01,미성교수위표,8.53,2106.569
382011,2024-04-01,남대천,128.27,31677.559
382012,2024-04-01,초강상류,16.68,4119.293
382013,2024-04-01,북천,172.83,42682.097
382014,2024-04-01,한천합류후,158.51,39145.63
382015,2024-04-01,삼동암천,-999,-999
382016,2024-04-01,금호강시점,18.63,4600.865
382017,2024-04-01,청도천하류,3.71,916.222
382018,2024-04-01,동촌수위표,-999,-999
382019,2024-04-01,동촌수위표,-999,-999
382020,2024-04-01,금호강하류,-999,-999
382021,2024-04-01,합천수위표하류,10.55,2605.428
382022,2024-04-01,동촌수위표,985.92,243482.803
382023,2024-04-01,합천댐상류,16.53,4082.249
382024,2024-04-01,합천댐상류,382.92,94565.923
382025,2024-04-01,동촌수위표,0,0
382026,2024-04-01,안동댐역조정지하류,74.76,18462.73
382027,2024-04-01,영강하류,320.49,79148.21
382028,2024-04-01,한천합류후,205.79,50821.898
382029,2024-04-01,운곡천,3.42,844.603
382030,2024-04-01,안동댐역조정지하류,13.49,3331.49
382031,2024-04-01,부소천합류후,-999,-999
382032,2024-04-01,부소천합류후,6.62,1634.875
382033,2024-04-01,신천하류,2.49,614.93
382034,2024-04-01,신천하류,-999,-999
382035,2024-04-01,황구지천상류,1.59,392.666
382036,2024-04-01,평택수위표,1.12,276.595
382037,2024-04-01,오산천,1.58,390.197
382038,2024-04-01,문산천합류후,0,0
382039,2024-04-01,공촌천,-999,-999
382040,2024-04-01,평택수위표,22.44,5541.782
382041,2024-04-01,용전천하류,31,7655.76
382042,2024-04-01,용전천하류,0,0
382043,2024-04-01,곡강천,-999,-999
382044,2024-04-01,안동댐역조정지하류,0,0
382045,2024-04-01,도암댐,7.89,1948.514
382046,2024-04-01,상운천,19.77,4882.399
382047,2024-04-01,전천,0.4,98.784
382048,2024-04-02,석화수위표,-999,-999
382049,2024-04-02,임실천,11.26,2780.77
382050,2024-04-02,봉황천하류,12.21,3015.382
382051,2024-04-02,봉황천하류,30.74,7591.55
382052,2024-04-02,초강상류,43.19,10666.202
382053,2024-04-02,삼가천합류후,1.87,461.815
382054,2024-04-02,삼가천합류후,4.77,1177.999
382055,2024-04-02,무심천,-999,-999
382056,2024-04-02,병천천상류,-999,-999
382057,2024-04-02,갑천하류,-999,-999
382058,2024-04-02,갑천하류,-999,-999
382059,2024-04-02,갑천하류,-999,-999
382060,2024-04-02,갑천상류,0.54,133.358
382061,2024-04-02,갑천하류,-999,-999
382062,2024-04-02,보강천,1.54,380.318
382063,2024-04-02,석화수위표,-999,-999
382064,2024-04-02,갑천하류,-999,-999
382065,2024-04-02,임실천,0,0
382066,2024-04-02,영천강합류전,108.59,26817.386
382067,2024-04-02,송천,4.41,1089.094
382068,2024-04-02,석화수위표,-999,-999
382069,2024-04-02,의령천,0,0
382070,2024-04-02,의령천,425.63,105113.585
382071,2024-04-02,차천,464.54,114722.798
382072,2024-04-02,남천,-999,-999
382073,2024-04-02,조만강,0,0
382074,2024-04-02,병천천상류,0,0
382075,2024-04-02,밀양강,428.44,105807.542
382076,2024-04-02,황리천,0,0
382077,2024-04-02,양산천하류,48.64,12012.134
382078,2024-04-02,곡강천,6.25,1543.5
382079,2024-04-02,곡강천,-999,-999
382080,2024-04-02,동천,4.29,1059.458
382081,2024-04-02,동천,-999,-999
382082,2024-04-02,동천,-999,-999
382083,2024-04-02,동천,-999,-999
382084,2024-04-02,수영강,-999,-999
382085,2024-04-02,남대천,21.79,5381.258
382086,2024-04-02,양산천하류,-999,-999
382087,2024-04-02,갑천하류,-999,-999
382088,2024-04-02,마륜천,-999,-999
