아이디,관측일자,표준유역명,유량,발전량,위도,경도
381883,2024-04-01,도암댐,22.35,5519.556,37.60885904673345,128.7188657968724
381884,2024-04-01,봉황천하류,36.23,8947.361,,
381885,2024-04-01,초강상류,51.75,12780.18,,
381886,2024-04-01,삼가천합류후,2.4,592.704,,
381887,2024-04-01,삼가천합류후,5.38,1328.645,,
381888,2024-04-01,석화수위표,-999.0,-999.0,,
381889,2024-04-01,무심천,-999.0,-999.0,36.597152210288435,127.4982042995271
381890,2024-04-01,갑천하류,-999.0,-999.0,,
381891,2024-04-01,봉황천하류,12.6,3111.696,,
381892,2024-04-01,갑천하류,-999.0,-999.0,,
381893,2024-04-01,갑천하류,-999.0,-999.0,,
381894,2024-04-01,갑천상류,0.6,148.176,,
381895,2024-04-01,갑천하류,-999.0,-999.0,,
381896,2024-04-01,보강천,1.54,380.318,36.79314210134124,127.61220460007371
381897,2024-04-01,석화수위표,-999.0,-999.0,,
381898,2024-04-01,병천천상류,-999.0,-999.0,,
381899,2024-04-01,석화수위표,-999.0,-999.0,,
381900,2024-04-01,갑천하류,-999.0,-999.0,,
381901,2024-04-01,임실천,11.42,2820.283,36.88145670014175,128.51924699968282
381902,2024-04-01,임실천,0.0,0.0,36.88145670014175,128.51924699968282
381903,2024-04-01,황리천,0.0,0.0,34.96062016767461,128.40742697030743
381904,2024-04-01,의령천,578.39,142839.194,35.29171072397124,128.29171110319584
381905,2024-04-01,차천,560.32,138376.627,35.6638667001325,128.44604829982413
381906,2024-04-01,남천,-999.0,-999.0,35.79041862016487,128.72992679987237
381907,2024-04-01,조만강,0.0,0.0,35.20207150192134,128.83194940076066
381908,2024-04-01,병천천상류,0.0,0.0,,
381909,2024-04-01,밀양강,612.77,151329.679,35.48105271681395,128.77315919359233
381910,2024-04-01,양산천하류,42.83,10577.297,,
381911,2024-04-01,양산천하류,-999.0,-999.0,,
381912,2024-04-01,곡강천,8.05,1988.028,36.12958038034038,129.399181699699
381913,2024-04-01,곡강천,-999.0,-999.0,36.12958038034038,129.399181699699
381914,2024-04-01,동천,5.64,1392.854,37.11345498686647,127.10480965033403
381915,2024-04-01,동천,-999.0,-999.0,37.11345498686647,127.10480965033403
381916,2024-04-01,동천,-999.0,-999.0,37.11345498686647,127.10480965033403
381917,2024-04-01,동천,-999.0,-999.0,37.11345498686647,127.10480965033403
381918,2024-04-01,수영강,-999.0,-999.0,35.266409219661796,129.1160780998157
381919,2024-04-01,남대천,27.8,6865.488,38.894627227671805,127.4816109408056
381920,2024-04-01,송천,5.25,1296.54,34.926912575002895,128.20189459859142
381921,2024-04-01,갑천하류,-999.0,-999.0,,
381922,2024-04-01,논산천합류전,815.49,201393.41,,
381923,2024-04-01,논산천합류전,1007.17,248730.703,,
381924,2024-04-01,대천천,-999.0,-999.0,35.1989246335543,127.92274141953104
