표준유역명,위도,경도
도암댐,37.60885904673345,128.7188657968724
봉황천하류,,
초강상류,,
삼가천합류후,,
석화수위표,,
무심천,36.597152210288435,127.4982042995271
갑천하류,,
갑천상류,,
보강천,36.79314210134124,127.61220460007371
병천천상류,,
임실천,36.88145670014175,128.51924699968282
황리천,34.96062016767461,128.40742697030743
의령천,35.29171072397124,128.29171110319584
차천,35.6638667001325,128.44604829982413
남천,35.79041862016487,128.72992679987237
조만강,35.20207150192134,128.83194940076066
밀양강,35.48105271681395,128.77315919359233
양산천하류,,
곡강천,36.12958038034038,129.399181699699
동천,37.11345498686647,127.10480965033403
수영강,35.266409219661796,129.1160780998157
남대천,38.894627227671805,127.4816109408056
송천,34.926912575002895,128.20189459859142
논산천합류전,,
대천천,35.1989246335543,127.92274141953104
성황천,35.39073146732086,128.34101536557125
경포천,37.7893315703479,128.86948300055218
경천,36.02297210147326,127.24695028565111
광주천,35.15229699662148,126.90599816047559
와탄천,35.3273910937836,126.48017786040434
지석천,38.62770508724153,126.71773739778405
청계천,37.57206169816609,127.0238485618644
탐진강하류,,
남원수위표,,
마륜천,34.92441142769612,127.4531319202684
삽교천상류,,
온양천,37.026633138519934,129.4005285568941
간월방조제,,
전주천하류,,
주상천,37.76667995270998,127.4472969862158
주암조절지댐,34.94795149799752,127.41643239946573
영천강합류전,,
함양위천,,
양평수위표,,
중랑천하류,,
중랑천합류전,,
성남수위표,,
탄천하류,,
안양천하류,,
안양천중류,,
행주대교수위표,,
경안수위표,,
소양강댐하류,,
삼천포천,34.94237365944161,128.07838573237572
전천,36.719557508211295,126.52838805017737
황지천,37.11751889488212,129.00454939957453
원주천,37.34316383001746,127.96184139630236
평창강하류,,
달천하류,,
청미수위표,,
복하천하류,,
화천천,35.299384400603785,128.6073675806971
양구교수위표,,
의암댐,37.83720999685882,127.67406000485425
미성교수위표,,
북천,35.44291603299613,127.53353258240385
한천합류후,,
삼동암천,,
금호강시점,,
청도천하류,,
동촌수위표,,
금호강하류,,
합천수위표하류,,
합천댐상류,,
안동댐역조정지하류,,
영강하류,,
운곡천,36.51164380537826,126.84085517258424
부소천합류후,,
신천하류,,
황구지천상류,,
평택수위표,,
오산천,37.340403140118944,127.19961470003655
문산천합류후,,
공촌천,37.54560830023956,126.64957780024687
용전천하류,,
상운천,36.832448589765704,128.755669962798
