댐이름,위도,경도
소양강댐,37.94889565349166,127.81512857875475
충주댐,37.00877753769414,127.98519571129256
횡성댐,37.54210999950129,128.03740000216857
안동댐,36.570857712324724,128.78459389879146
임하댐,36.536543036447824,128.84519087674013
합천댐,35.529654029475786,128.03566028819526
남강댐,35.15906103323083,128.02934677603943
밀양댐,35.4827491183731,128.92735640304406
군위댐,36.12209400424766,128.79402479790573
김천부항댐,35.9821147697443,128.00594724488485
영주댐,36.71716266777366,128.65953229555177
성덕댐,36.24567795406437,128.96617130283298
보현산댐,36.143385568350574,128.95782074183705
용담댐,35.83631459992787,127.15455809959305
대청댐,36.4706570058115,127.47275499998453
섬진강댐,35.54254995371461,127.1107315003562
주암댐,35.07529850094366,127.23818950035329
부안댐,35.672808000500396,126.56534300019187
보령댐,36.19791093506958,126.67275263886911
장흥댐,34.755222800164425,126.89280999976991
